401,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Astoria,169691,205469,196854,190247,175303,178480,176394
210,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Bay Ridge,107726,119871,124339,123447,126730,121390,128811
411,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Bayside/Little Neck,108482,116749,111573,117784,123412,124989,123621
203,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Bedford Stuyvesant,113900,121054,135559,132087,125699,141064,132514
413,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Bensonhurst,149468,171778,181857,174593,184258,183083,163384
211,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Borough Park,137257,158548,154525,155509,176198,170292,163645
212,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Brooklyn Heights/Fort Greene,110980,115106,109811,111796,116753,116528,121297
202,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Brownsville/Ocean Hill,114693,116790,111136,116936,120802,113502,118392
216,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Bushwick,121318,120710,115583,123871,129980,127496,134869
204,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Central Harlem,100692,109091,118291,118143,124883,125875,122336
308,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Chelsea/Clinton/Midtown,120836,122241,133175,131439,133169,145155,147472
303,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Coney Island,110970,116138,109576,103687,108484,104974,111063
213,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",East Flatbush,140614,145263,143392,147390,135649,147017,151181
217,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",East Harlem,108654,115433,109772,134287,121457,126609,113328
309,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",East New York/Starrett City,136753,146857,143543,161064,158711,156855,163813
205,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Elmhurst/Corona,116362,142022,139422,138593,140182,143406,147604
404,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Flatbush,157775,166315,156685,163099,160783,172592,163298
214,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Flatlands/Canarsie,162759,194836,188016,204600,202387,206947,213442
218,Population,"Number of people, both children and adults, living in a given geographic area. <i>Source: United States Census (2000), Annual Estimates of the Resident Population for Counties of New York (2008,2009), American Community Survey (2009)</i>",Flushing/Whitestone,221261,243690,241947,246542,234382,254571,264586
